SALTY04053	STM4216
SALTY04052	STM4215
SALTY04051	STM4214
SALTY04050	STM4213
SALTY04049	STM4212
SALTY04034	STM4197
SALTY04033	STM4196
SALTY04031	yjbD
SALTY04027	pepE
SALTY04026	yjbB
SALTY04025	metH
SALTY04024	iclR
SALTY04022	aceK
SALTY04021	aceA
SALTY04020	aceB
SALTY04019	metA
SALTY04017	purH
SALTY04016	purD
SALTY04015	hydG
SALTY04014	hydH
SALTY04013	zraP
SALTY04012	yjaH
SALTY04011	hupA
SALTY04009	nfi
SALTY04008	STM4167
SALTY04007	yjaD
SALTY04006	rsd
SALTY04005	thiC
SALTY04004	thiE
SALTY04003	thiF
SALTY04002	STM4161
SALTY04001	thiG
SALTY04000	thiH
SALTY03999	STM4158
SALTY03995	rpoC
SALTY03994	rpoB
SALTY03993	rplL
SALTY03992	rplJ
SALTY03991	rplA
SALTY03990	rplK
SALTY03989	nusG
SALTY03988	secE
SALTY03987	STM4146
SALTY03985	coaA
SALTY03984	birA
SALTY03983	murB
SALTY03982	murI
SALTY03981	btuB
SALTY03980	trmA
SALTY03979	yijD
SALTY03978	yijC
SALTY03977	udhA
SALTY03976	oxyR
SALTY03975	argH
SALTY03974	argB
SALTY03973	argC
SALTY03972	argE
SALTY03971	ppc
SALTY03969	yijO
SALTY03968	frwD
SALTY03967	pflC
SALTY03966	pflD
SALTY03965	frwB
SALTY03964	frwC
SALTY03963	ptsA
SALTY03962	talC
SALTY03961	gldA
SALTY03959	katG
SALTY03958	metF
SALTY03955	STM4102
SALTY03954	metL
SALTY03953	metB
SALTY03952	metJ
SALTY03951	STM4098
SALTY03949	rpmE
SALTY03948	priA
SALTY03947	cytR
SALTY03946	ftsN
SALTY03945	hslV
SALTY03944	hslU
SALTY03943	menA
SALTY03942	menG
SALTY03941	yiiU
SALTY03940	glpF
SALTY03939	glpK
SALTY03938	glpX
SALTY03937	fpr
SALTY03936	yiiR
SALTY03934	tpiA
SALTY03933	STM4080
SALTY03932	yneC
SALTY03931	yneB
SALTY03926	ydeW
SALTY03925	ydeV
SALTY03924	STM4071
SALTY03921	STM4068
SALTY03920	STM4067
SALTY03919	STM4066
SALTY03918	STM4065
SALTY03917	ushB
SALTY03916	sbp
SALTY03915	pfkA
SALTY03914	yiiP
SALTY03913	cpxP
SALTY03912	cpxR
SALTY03911	cpxA
SALTY03909	yiiM
SALTY03908	sodA
SALTY03907	STM4054
SALTY03906	STM4053
SALTY03905	STM4052
SALTY03904	STM4051
SALTY03903	rhaT
SALTY03902	rhaR
SALTY03901	rhaS
SALTY03900	rhaB
SALTY03899	rhaA
SALTY03898	rhaD
SALTY03897	STM4044
SALTY03896	yiiL
SALTY03892	yiiG
SALTY03891	STM4039
SALTY03890	fdhD
SALTY03889	fdoG
SALTY03888	fdoH
SALTY03887	fdoI
SALTY03886	fdhE
SALTY03885	STM4033
SALTY03884	STM4032
SALTY03883	STM4031
SALTY03882	STM4030
SALTY03880	yihZ
SALTY03878	yihX
SALTY03876	yihV
SALTY03875	yihU
SALTY03873	yihS
SALTY03872	yihR
SALTY03870	yihP
SALTY03868	yshA
SALTY03861	typA
SALTY03859	glnA
SALTY03858	glnL
SALTY03857	glnG
SALTY03856	hemN
SALTY03855	yihI
SALTY03851	polA
SALTY03850	yihG
SALTY03849	dsbA
SALTY03848	yihE
SALTY03847	yihD
SALTY03846	mobA
SALTY03845	mobB
SALTY03844	hemG
SALTY03843	trkH
SALTY03842	yigZ
SALTY03841	pepQ
SALTY03840	fadB
SALTY03839	fadA
SALTY03836	ubiB
SALTY03835	yigC
SALTY03834	rfaH
SALTY03832	tatC
SALTY03831	tatB
SALTY03830	tatA
SALTY03829	aarF
SALTY03828	yigP
SALTY03827	ubiE
SALTY03826	yigN
SALTY03825	udp
SALTY03824	dlhH
SALTY03822	metE
SALTY03821	metR
SALTY03819	yigL
SALTY03818	pldB
SALTY03817	rthB
SALTY03816	rhtC
SALTY03815	recQ
SALTY03814	pldA
SALTY03813	yigI
SALTY03812	rarD
SALTY03811	yigG
SALTY03810	yigF
SALTY03809	corA
SALTY03808	uvrD
SALTY03806	xerC
SALTY03805	yigA
SALTY03804	dapF
SALTY03803	yifL
SALTY03801	cyaY
SALTY03797	cyaA
SALTY03796	hemC
SALTY03795	hemD
SALTY03794	hemX
SALTY03793	hemY
SALTY03792	yifK
SALTY03791	wecG
SALTY03790	wecF
SALTY03789	STM3927
SALTY03788	wzxE
SALTY03787	wecE
SALTY03786	wecD
SALTY03784	rffG
SALTY03783	wecC
SALTY03782	wecB
SALTY03781	wzzE
SALTY03780	rfe
SALTY03779	rho
SALTY03778	trxA
SALTY03777	rhlB
SALTY03775	rep
SALTY03773	ppiC
SALTY03772	ilvC
SALTY03771	ilvY
SALTY03768	ilvA
SALTY03767	ilvD
SALTY03766	ilvE
SALTY03765	ilvM
SALTY03764	ilvG
SALTY03762	yifB
SALTY03761	yifE
SALTY03760	yifA
SALTY03759	yieP
SALTY03757	rbsR
SALTY03756	rbsK
SALTY03755	rbsB
SALTY03754	rbsC
SALTY03753	rbsA
SALTY03752	rbsD
SALTY03751	kup
SALTY03750	yieN
SALTY03749	yieM
SALTY03748	asnA
SALTY03747	asnC
SALTY03746	mioC
SALTY03745	gidA
SALTY03743	atpI
SALTY03742	atpB
SALTY03741	atpE
SALTY03740	atpF
SALTY03739	atpH
SALTY03738	atpA
SALTY03737	atpG
SALTY03736	atpD
SALTY03735	atpC
SALTY03733	glmU
SALTY03732	glmS
SALTY03730	STM3859
SALTY03729	STM3858
SALTY03728	pstS
SALTY03727	pstC
SALTY03726	pstA
SALTY03725	pstB
SALTY03721	yieF
SALTY03720	yieE
SALTY03718	yidY
SALTY03716	STM3845
SALTY03715	trmE
SALTY03714	yidC
SALTY03712	rnpA
SALTY03710	dnaA
SALTY03709	dnaN
SALTY03708	recF
SALTY03707	gyrB
SALTY03706	STM3834
SALTY03705	STM3833
SALTY03704	STM3832
SALTY03703	yidA
SALTY03702	dgoR
SALTY03701	dgoK
SALTY03700	dgoA
SALTY03699	dgoT
SALTY03698	torS
SALTY03696	torR
SALTY03695	torC
SALTY03694	torA
SALTY03693	torD
SALTY03690	STM3818
SALTY03689	STM3817
SALTY03688	STM3816
SALTY03687	STM3815
SALTY03686	STM3814
SALTY03685	STM3813
SALTY03681	ibpA
SALTY03680	ibpB
SALTY03675	dsdA
SALTY03674	dsdX
SALTY03673	dsdC
SALTY03671	emrD
SALTY03666	ilvB
SALTY03665	ilvN
SALTY03664	STM3794
SALTY03663	STM3793
SALTY03662	STM3792
SALTY03660	uhpA
SALTY03657	uhpT
SALTY03655	STM3785
SALTY03654	STM3784
SALTY03653	STM3783
SALTY03652	STM3782
SALTY03651	STM3781
SALTY03650	STM3780
SALTY03649	STM3779
SALTY03644	STM3774
SALTY03642	STM3772
SALTY03635	yicL
SALTY03634	mgtC
SALTY03633	mgtB
SALTY03632	cigR
SALTY03631	slsA
SALTY03628	fidL
SALTY03627	misL
SALTY03626	rmbA
SALTY03624	STM3754
SALTY03623	sugR
SALTY03622	STM3752
SALTY03620	yicI
SALTY03618	yicE
SALTY03615	recG
SALTY03613	spoT
SALTY03612	rpoZ
SALTY03611	gmk
SALTY03610	yicF
SALTY03609	yigC
SALTY03604	pyrE
SALTY03603	ttk
SALTY03602	dut
SALTY03601	dfp
SALTY03599	rpmB
SALTY03598	rpmG
SALTY03597	mutM
SALTY03596	kdtB
SALTY03595	kdtA
SALTY03594	rfaQ
SALTY03593	rfaG
SALTY03592	rfaP
SALTY03591	yibR
SALTY03590	rfaB
SALTY03589	rfaI
SALTY03588	rfaJ
SALTY03587	rfaY
SALTY03586	rfaZ
SALTY03585	rfaK
SALTY03584	rfaL
SALTY03583	rfaC
SALTY03582	rfaF
SALTY03581	rfaD
SALTY03580	kbl
SALTY03579	tdh
SALTY03577	yigQ
SALTY03576	yibP
SALTY03575	pmgI
SALTY03574	yibN
SALTY03573	grxC
SALTY03572	secB
SALTY03571	gpsA
SALTY03570	cysE
SALTY03569	STM3698
SALTY03568	STM3697
SALTY03567	STM3696
SALTY03566	yibK
SALTY03565	lldD
SALTY03564	lldR
SALTY03563	lldP
SALTY03561	STM3690
SALTY03559	STM3688
SALTY03558	mtlR
SALTY03557	mtlD
SALTY03556	mtlA
SALTY03555	yibF
SALTY03554	selA
SALTY03553	selB
SALTY03551	aldB
SALTY03550	STM3679
SALTY03549	STM3678
SALTY03548	sgbE
SALTY03546	sgbH
SALTY03545	lyxK
SALTY03544	yiaO
SALTY03543	yiaN
SALTY03542	yiaM
SALTY03539	yiaK
SALTY03538	yiaJ
SALTY03537	ysaA
SALTY03536	avtA
SALTY03535	malS
SALTY03534	bax
SALTY03533	xylR
SALTY03532	xylA
SALTY03531	xylB
SALTY03527	glyQ
SALTY03526	glyS
SALTY03525	STM3653
SALTY03522	STM3650
SALTY03521	cspA
SALTY03520	yiaG
SALTY03519	yiaF
SALTY03518	yiaE
SALTY03515	yiaC
SALTY03514	tag
SALTY03513	yhjY
SALTY03512	lpfA
SALTY03507	yhjW
SALTY03503	dppA
SALTY03502	dppB
SALTY03501	dppC
SALTY03500	dppD
SALTY03499	dppF
SALTY03496	yhjU
SALTY03495	yhjT
SALTY03494	yhjS
SALTY03493	yhjR
SALTY03492	yhjQ
SALTY03491	yhjO
SALTY03490	yhjN
SALTY03489	bcsC
SALTY03488	yhjL
SALTY03487	yhjK
SALTY03486	dctA
SALTY03484	kdgK
SALTY03481	yhjE
SALTY03480	yhjD
SALTY03479	yhjC
SALTY03478	yhjB
SALTY03477	STM3605
SALTY03476	STM3604
SALTY03475	treF
SALTY03474	STM3602
SALTY03473	STM3601
SALTY03472	STM3600
SALTY03471	STM3599
SALTY03470	STM3598
SALTY03469	gor
SALTY03468	yhiR
SALTY03467	STM3595
SALTY03466	prlC
SALTY03465	yhiQ
SALTY03464	yhiP
SALTY03463	uspA
SALTY03461	pitA
SALTY03460	yhiN
SALTY03459	yhiI
SALTY03456	nikR
SALTY03455	acpT
SALTY03452	STM3580
SALTY03451	yhhQ
SALTY03450	yhhP
SALTY03448	zntA
SALTY03445	yhhL
SALTY03443	ftsY
SALTY03442	ftsE
SALTY03441	ftsX
SALTY03440	rpoH
